label,text
ham,"Subject: Meeting Minutes for 10/25/2025

Hi Team,

Here are the minutes from our meeting this morning. Please review them and send any feedback by the end of the day. The next meeting is scheduled for next Tuesday at 10 AM. Let me know if you have any questions.

Best regards,
Jane"
spam,"Subject: URGENT: Your Apple ID is locked

Dear Customer,

We have detected suspicious activity on your account. To prevent your account from being permanently locked, you must verify your information immediately. Please click on the link below and sign in to confirm your details. 

Thank you,
Apple Support

https://appleid.security-verify.com/login"
ham,"Subject: Dinner Plans Tonight?

Hey Michael,

Are you still on for dinner tonight? I was thinking we could try that new Italian place downtown. I can make a reservation for 7 PM. Let me know if that works for you.

Cheers,
David"
spam,"Subject: Congratulations! You've Won a New MacBook!

Dear Valued Winner,

You have been randomly selected from millions of users to win a brand new MacBook Pro! To claim your prize, simply click on the link below and provide your shipping details. This offer is valid for a limited time only!

Claim your prize here: http://win.prize-claim-now.net/macbook

Note: A small processing fee may apply."
ham,"Subject: Regarding Your Recent Order #456789

Hello Sarah,

Thank you for your recent purchase from our store. We're happy to inform you that your order #456789 has shipped and is on its way. You can track your package here: 

Order details: 
Items: Laptop Bag, Wireless Mouse
Total: $85.00

Track your package: https://www.shippingco.com/track/456789

Thanks,
Customer Service Team"
spam,"Subject: Fwd: Outstanding Invoice: #INV-9876

Dear Client,

We hope this email finds you well. Unfortunately, our records indicate that invoice #INV-9876 is now overdue. Please click on the link below to review the invoice and complete your payment to avoid late fees. Thank you for your prompt attention to this matter.

Sincerely,
Billing Department

https://invoice.payment-portal-secure.org/9876"
ham,"Subject: Question about the Q3 Report

Hi Mark,

I'm looking over the Q3 report and I have a quick question about the sales figures for the eastern region. Could you clarify where the data for that section was pulled from? I want to make sure I'm looking at the correct version.

Thanks,
Lisa"
spam,"Subject: YOUR ACCOUNT WILL BE SUSPENDED

Attn: Email User,

We have upgraded our database as our yearly security update and privacy policy specification. Please take a few moments to re-confirm your account by following the link below so you do not loose your E-mail [sic] access. 

VERIFY AND UPGRADE NOW 

If above link is not working, move this email to your inbox and try again.

Regards,
E-mail Administrator
admin@upgrade.com"
ham,"Subject: Re: Project feedback

Hi Alex,

Thanks for the feedback on the project. I've made the changes you requested and attached the revised document. Let me know if anything else needs to be adjusted. Looking forward to our next steps.

Best, 
Chris"
spam,"Subject: We Found A Virus On Your Computer

Dear Customer,

We have scanned your computer and found that it is infected with a serious virus. Your personal and financial information is at risk. Please click on the following link and download our recommended antivirus software to fix the problem.

Scan and Repair Now: https://www.secure-my-computer.biz/download"
ham,"Subject: Your Flight Itinerary for ORD to LAX

Hello Jane,

Here's your flight confirmation and itinerary for your upcoming trip. Your flight, AA1234, departs from O'Hare International Airport (ORD) on November 5th at 3:30 PM, arriving at Los Angeles International Airport (LAX) at 5:50 PM. The ticket is attached as a PDF. Please let us know if you have any questions. 

Thank you for flying with us,
American Airlines"
spam,"Subject: GET THE BEST DEALS ON PHARMACY!!!

Hello,

We are offering the best deals on prescription drugs and other medical products. You don't need a prescription. All you need to do is click the link below and place your order.

Buy now at a huge discount: http://cheap-meds-online.biz"
ham,"Subject: Update on the Q4 Budget

Hi Team,

Following our discussion, I have updated the Q4 budget spreadsheet. I've highlighted the changes in yellow. Please review and provide your final approval by Friday. You can find the file in our shared drive. 

Thanks,
Kevin"
spam,"Subject: FREE GIFT VOUCHER: Claim Your $500 Walmart Card Today!

Dear Shopper,

To show our appreciation for your loyalty, we are giving away $500 gift cards to our top customers! You have been randomly selected to receive one. To claim your free gift voucher, simply click on the link below and provide your details.

Claim your gift now: http://walmart-rewards.store/voucher"
ham,"Subject: Re: Quick question about the user interface

Hi Sarah,

Good question. The new UI is still in beta, so we're working on making the navigation more intuitive. I've attached a quick mockup of the proposed changes. Let's schedule a call to walk through it together. 

Cheers,
Lisa"
spam,"Subject: Security Alert: Unauthorized sign-in attempt

Your Amazon account was recently accessed from an unrecognized device in a new location. If this was not you, please secure your account immediately by following this link.

https://www.amazon-security-alert.com/login

Note: Failure to comply may result in temporary account suspension."
ham,"Subject: Meeting with the client next week

Hi Alex,

Just a reminder about our client meeting next Wednesday at 2 PM. I've sent over the final presentation deck. Let me know if you can make it, as we need both of us there. 

Regards,
Chris"
spam,"Subject: Get your money now. 100% no fees.

Congratulations! You are eligible for an instant loan of up to $50,000. No credit check required! We can transfer the funds to your account within 24 hours. Click here to apply: http://fast-loan-approved.co/apply

This is a limited-time offer. Act now!"
ham,"Subject: Project Milestone 2 Complete!

Team,

Great news! We have successfully completed Project Milestone 2 ahead of schedule. Thank you all for your hard work and dedication. Let's keep the momentum going as we head into the final phase of the project.

Cheers,
The Project Manager"
spam,"Subject: Your PayPal Account Has Been Limited

Dear valued PayPal member,

We have placed a temporary limitation on your account due to an issue with your billing information. To restore full access, please log in to your account and update your details. 

Update your account here: https://www.paypal-secure.net/account/update"
ham,"Subject: Meeting Minutes from Oct 28

Hi Team,

Please find the meeting minutes attached. We've outlined the action items and assigned them to each member. Let's discuss this further in our next meeting.

Thanks,
Sarah"
spam,"Subject: Security Update: Your Account Has Been Locked

Dear customer,

We have detected suspicious activity on your account. To unlock it, please verify your details by clicking this link: http://secure-site.org/verify

Thank you,
The Support Team"
